Format;HydroMonitor - open data exchange format;;;;;;;;;;;
Format Version;1.0;;;;;;;;;;;
Format Definition;http://hydromonitor.nl/downloads/hydromonitor_data_exchange_format.pdf;;;;;;;;;;;
Format Type;CSV;;;;;;;;;;;
Format Contents;Header;Metadata;Data;;;;;;;;;
Object Type;SurfaceWaterLevelGauge;;;;;;;;;;;
Object ID Fields;NITGCode;;;;;;;;;;;
;;;;;;;;;;;;
Name;NITGCode;OLGACode;StartDateTime;XCoordinate;YCoordinate;SurfaceLevel;GaugeTopLevel;GaugeBottomLevel;LoggerSerial;LoggerDepth;Comment;CommentBy
[String];[String];[String];[dd-mm-yyyy HH:MM];[m];[m];[m+ref];[m+ref];[m+ref];[String];[-m+welltop];[String];[String]
LocalName1;P520089;;15-6-1970 0:00;187930;378630;30,37;30,76;20;;;;
LocalName2;P520151;;15-6-1970 0:00;189790;382110;30,16;30,74;22,74;;;;
LocalName3;P520156;;15-6-1970 0:00;187360;377180;27,86;28,09;10,09;;;;
LocalName4;P520281;;14-11-1992 0:00;189440;383320;30,78;30,74;29,24;;;;
LocalName4;P520281;;1-6-2003 0:00;189440;383320;30,78;30,72;27,21;;;;
LocalName4;P520281;;14-11-1992 0:00;189440;383320;30,78;30,71;27,21;;;;
;;;;;;;;;;;;
NITGCode;DateTime;Level;;;;;;;;;;
[String];[dd-mm-yyyy HH:MM];[m+ref];;;;;;;;;;
P520089;27-5-1966 1:00;28,19;;;;;;;;;;
P520089;14-6-1966 1:00;28;;;;;;;;;;
P520089;28-6-1966 1:00;28,5;;;;;;;;;;
P520089;28-7-1966 1:00;28,45;;;;;;;;;;
P520089;15-8-1966 1:00;28,31;;;;;;;;;;
P520089;29-8-1966 1:00;28,19;;;;;;;;;;
P520089;14-9-1966 1:00;28,12;;;;;;;;;;
P520089;28-9-1966 1:00;28,03;;;;;;;;;;
P520089;14-10-1966 1:00;28;;;;;;;;;;
P520089;28-10-1966 1:00;28,34;;;;;;;;;;
P520089;14-11-1966 1:00;28,57;;;;;;;;;;
P520089;28-11-1966 1:00;28,72;;;;;;;;;;
P520089;14-12-1966 1:00;28,94;;;;;;;;;;
P520089;28-12-1966 1:00;28,86;;;;;;;;;;
P520089;13-1-1967 1:00;28,8;;;;;;;;;;
P520089;27-1-1967 1:00;28,73;;;;;;;;;;
P520089;14-2-1967 1:00;28,48;;;;;;;;;;
P520089;28-2-1967 1:00;28,72;;;;;;;;;;
P520089;14-3-1967 1:00;28,61;;;;;;;;;;
P520089;28-3-1967 1:00;28,5;;;;;;;;;;
P520089;14-4-1967 1:00;28,46;;;;;;;;;;
P520089;28-4-1967 1:00;28,26;;;;;;;;;;
P520089;16-5-1967 1:00;28,1;;;;;;;;;;
P520089;29-5-1967 1:00;28,19;;;;;;;;;;
P520089;14-6-1967 1:00;28,04;;;;;;;;;;
P520089;28-6-1967 1:00;27,91;;;;;;;;;;
P520089;14-7-1967 1:00;27,66;;;;;;;;;;
P520089;28-7-1967 1:00;27,8;;;;;;;;;;
P520089;14-8-1967 1:00;27,9;;;;;;;;;;
P520089;28-8-1967 1:00;27,76;;;;;;;;;;
P520089;14-9-1967 1:00;27,86;;;;;;;;;;
P520089;27-9-1967 1:00;27,8;;;;;;;;;;
P520089;27-10-1967 1:00;28,08;;;;;;;;;;
P520089;14-11-1967 1:00;28,21;;;;;;;;;;
P520089;28-11-1967 1:00;28,26;;;;;;;;;;
P520089;14-12-1967 1:00;28,55;;;;;;;;;;
P520089;28-12-1967 1:00;28,67;;;;;;;;;;
P520089;15-1-1968 1:00;28,76;;;;;;;;;;
P520089;29-1-1968 1:00;28,56;;;;;;;;;;
P520089;28-2-1968 1:00;28,31;;;;;;;;;;
P520089;14-3-1968 1:00;28,41;;;;;;;;;;
P520089;28-3-1968 1:00;28,24;;;;;;;;;;
P520089;16-4-1968 1:00;28,16;;;;;;;;;;
P520089;29-4-1968 1:00;27,94;;;;;;;;;;
P520089;14-5-1968 1:00;28,05;;;;;;;;;;
P520089;28-6-1968 1:00;28,03;;;;;;;;;;
P520089;29-7-1968 1:00;27,95;;;;;;;;;;
P520089;14-8-1968 1:00;28,26;;;;;;;;;;
P520089;28-8-1968 1:00;28,16;;;;;;;;;;
P520089;13-9-1968 1:00;28,3;;;;;;;;;;
P520089;27-9-1968 1:00;28,71;;;;;;;;;;
P520089;14-10-1968 1:00;28,51;;;;;;;;;;
P520089;28-10-1968 1:00;28,56;;;;;;;;;;
P520089;14-11-1968 1:00;28,33;;;;;;;;;;
P520089;28-11-1968 1:00;28,24;;;;;;;;;;
P520089;13-12-1968 1:00;28,15;;;;;;;;;;
P520089;27-12-1968 1:00;28,2;;;;;;;;;;
P520089;14-1-1969 1:00;28,36;;;;;;;;;;
P520089;28-1-1969 1:00;28,37;;;;;;;;;;
P520089;14-2-1969 1:00;28,31;;;;;;;;;;
P520089;28-2-1969 1:00;28,69;;;;;;;;;;
P520089;14-3-1969 1:00;28,47;;;;;;;;;;
P520089;28-3-1969 1:00;28,41;;;;;;;;;;
P520089;14-4-1969 1:00;28,39;;;;;;;;;;
P520089;28-4-1969 1:00;28,3;;;;;;;;;;
P520089;14-5-1969 1:00;28,06;;;;;;;;;;
P520089;28-5-1969 1:00;28,17;;;;;;;;;;
P520089;13-6-1969 1:00;28,05;;;;;;;;;;
P520089;27-6-1969 1:00;27,91;;;;;;;;;;
P520089;14-7-1969 1:00;27,99;;;;;;;;;;
P520089;28-7-1969 1:00;28,32;;;;;;;;;;
P520089;14-8-1969 1:00;28,03;;;;;;;;;;
P520089;27-8-1969 1:00;28,52;;;;;;;;;;
P520089;29-9-1969 1:00;28,02;;;;;;;;;;
P520089;14-10-1969 1:00;27,91;;;;;;;;;;
P520089;28-10-1969 1:00;27,86;;;;;;;;;;
P520089;14-11-1969 1:00;27,99;;;;;;;;;;
P520089;28-11-1969 1:00;28,12;;;;;;;;;;
P520089;29-12-1969 1:00;28,13;;;;;;;;;;
P520089;14-1-1970 1:00;28,29;;;;;;;;;;
P520089;13-2-1970 1:00;28,43;;;;;;;;;;
P520089;27-2-1970 1:00;28,9;;;;;;;;;;
P520089;14-4-1970 1:00;28,38;;;;;;;;;;
P520089;28-4-1970 1:00;28,55;;;;;;;;;;
P520089;14-5-1970 1:00;28,21;;;;;;;;;;
P520089;14-8-1970 1:00;28;;;;;;;;;;
P520089;28-8-1970 1:00;27,88;;;;;;;;;;
P520089;14-9-1970 1:00;27,92;;;;;;;;;;
P520089;28-9-1970 1:00;28,12;;;;;;;;;;
P520089;14-12-1970 1:00;28,35;;;;;;;;;;
P520089;28-2-1971 1:00;28,23;;;;;;;;;;
P520089;28-4-1971 1:00;28,16;;;;;;;;;;
P520089;27-8-1971 1:00;27,83;;;;;;;;;;
P520089;14-10-1971 1:00;27,81;;;;;;;;;;
P520089;14-12-1971 1:00;28,03;;;;;;;;;;
P520089;28-4-1972 1:00;28,21;;;;;;;;;;
P520089;28-8-1972 1:00;28,26;;;;;;;;;;
P520089;13-10-1972 1:00;28,02;;;;;;;;;;
P520089;14-12-1972 1:00;28,11;;;;;;;;;;
P520089;27-4-1973 1:00;28,27;;;;;;;;;;
P520089;28-8-1973 1:00;27,81;;;;;;;;;;
P520089;15-10-1973 1:00;28,11;;;;;;;;;;
P520089;14-12-1973 1:00;28,34;;;;;;;;;;
P520151;21-7-1970 1:00;29,72;;;;;;;;;;
P520151;26-8-1970 1:00;29,6;;;;;;;;;;
P520151;14-10-1970 1:00;29,72;;;;;;;;;;
P520151;14-12-1970 1:00;29,96;;;;;;;;;;
P520151;28-4-1971 1:00;29,84;;;;;;;;;;
P520151;27-8-1971 1:00;29,62;;;;;;;;;;
P520151;14-10-1971 1:00;29,46;;;;;;;;;;
P520151;15-12-1971 1:00;29,78;;;;;;;;;;
P520151;30-4-1972 1:00;29,89;;;;;;;;;;
P520151;28-8-1972 1:00;29,9;;;;;;;;;;
P520151;17-10-1972 1:00;29,69;;;;;;;;;;
P520151;15-12-1972 1:00;29,89;;;;;;;;;;
P520151;11-5-1973 1:00;29,95;;;;;;;;;;
P520151;28-8-1973 1:00;29,39;;;;;;;;;;
P520151;15-10-1973 1:00;29,51;;;;;;;;;;
P520151;15-12-1973 1:00;29,93;;;;;;;;;;
P520151;29-4-1974 1:00;29,82;;;;;;;;;;
P520151;27-8-1974 1:00;29,64;;;;;;;;;;
P520151;14-10-1974 1:00;29,85;;;;;;;;;;
P520151;15-12-1974 1:00;30,12;;;;;;;;;;
P520151;28-8-1975 1:00;29,55;;;;;;;;;;
P520151;14-10-1975 1:00;29,58;;;;;;;;;;
P520151;15-12-1975 1:00;29,74;;;;;;;;;;
P520151;28-4-1976 1:00;29,76;;;;;;;;;;
P520151;29-8-1976 1:00;29,93;;;;;;;;;;
P520151;14-10-1976 1:00;29,53;;;;;;;;;;
P520151;14-12-1976 1:00;29,84;;;;;;;;;;
P520151;28-4-1977 1:00;29,89;;;;;;;;;;
P520151;29-8-1977 1:00;29,91;;;;;;;;;;
P520151;14-10-1977 1:00;29,75;;;;;;;;;;
P520151;16-12-1977 1:00;29,97;;;;;;;;;;
P520151;30-4-1978 1:00;29,91;;;;;;;;;;
P520151;28-8-1978 1:00;29,61;;;;;;;;;;
P520151;13-10-1978 1:00;29,66;;;;;;;;;;
P520151;18-12-1978 1:00;29,8;;;;;;;;;;
P520151;27-4-1979 1:00;29,86;;;;;;;;;;
P520151;28-8-1979 1:00;29,59;;;;;;;;;;
P520151;15-10-1979 1:00;29,58;;;;;;;;;;
P520151;15-12-1979 1:00;29,91;;;;;;;;;;
P520151;28-8-1980 1:00;29,71;;;;;;;;;;
P520151;16-10-1980 1:00;29,74;;;;;;;;;;
P520151;20-12-1980 1:00;29,77;;;;;;;;;;
P520151;28-4-1981 1:00;29,62;;;;;;;;;;
P520151;6-9-1981 1:00;29,59;;;;;;;;;;
P520151;22-10-1981 1:00;29,75;;;;;;;;;;
P520151;15-12-1981 1:00;29,84;;;;;;;;;;
P520151;29-4-1982 1:00;29,69;;;;;;;;;;
P520151;3-9-1982 1:00;29,54;;;;;;;;;;
P520151;18-10-1982 1:00;29,69;;;;;;;;;;
P520151;14-12-1982 1:00;29,78;;;;;;;;;;
P520151;28-4-1983 1:00;29,76;;;;;;;;;;
P520151;29-8-1983 1:00;29,69;;;;;;;;;;
P520151;18-10-1983 1:00;29,62;;;;;;;;;;
P520151;14-12-1983 1:00;29,68;;;;;;;;;;
P520151;28-4-1984 1:00;29,7;;;;;;;;;;
P520151;28-8-1984 1:00;29,65;;;;;;;;;;
P520151;15-10-1984 1:00;29,93;;;;;;;;;;
P520151;15-12-1984 1:00;29,82;;;;;;;;;;
P520151;28-4-1985 1:00;29,86;;;;;;;;;;
P520151;28-8-1985 1:00;29,75;;;;;;;;;;
P520151;16-10-1985 1:00;29,7;;;;;;;;;;
P520151;16-12-1985 1:00;29,79;;;;;;;;;;
P520151;28-4-1986 1:00;29,8;;;;;;;;;;
P520151;29-8-1986 1:00;29,57;;;;;;;;;;
P520156;22-7-1970 1:00;26,9;;;;;;;;;;
P520156;26-8-1970 1:00;26,76;;;;;;;;;;
P520156;14-10-1970 1:00;26,91;;;;;;;;;;
P520156;28-12-1970 1:00;27,12;;;;;;;;;;
P520156;28-4-1971 1:00;27,02;;;;;;;;;;
P520156;27-8-1971 1:00;26,68;;;;;;;;;;
P520156;14-10-1971 1:00;26,5;;;;;;;;;;
P520156;14-12-1971 1:00;26,8;;;;;;;;;;
P520156;28-4-1972 1:00;26,85;;;;;;;;;;
P520156;28-8-1972 1:00;27,07;;;;;;;;;;
P520156;8-11-1972 1:00;26,72;;;;;;;;;;
P520156;14-12-1972 1:00;26,76;;;;;;;;;;
P520156;27-4-1973 1:00;27,11;;;;;;;;;;
P520156;28-8-1973 1:00;26,42;;;;;;;;;;
P520156;15-10-1973 1:00;26,57;;;;;;;;;;
P520156;14-12-1973 1:00;26,94;;;;;;;;;;
P520156;29-4-1974 1:00;26,87;;;;;;;;;;
P520156;28-8-1974 1:00;26,66;;;;;;;;;;
P520156;14-10-1974 1:00;26,9;;;;;;;;;;
P520156;13-12-1974 1:00;27,61;;;;;;;;;;
P520156;28-4-1975 1:00;27,2;;;;;;;;;;
P520156;28-8-1975 1:00;27,06;;;;;;;;;;
P520156;14-10-1975 1:00;26,48;;;;;;;;;;
P520156;15-12-1975 1:00;26,65;;;;;;;;;;
P520156;28-4-1976 1:00;26,59;;;;;;;;;;
P520156;19-9-1976 1:00;26,28;;;;;;;;;;
P520156;14-10-1976 1:00;26,35;;;;;;;;;;
P520156;2-1-1977 1:00;26,85;;;;;;;;;;
P520156;28-4-1977 1:00;27,01;;;;;;;;;;
P520156;29-8-1977 1:00;26,93;;;;;;;;;;
P520156;14-10-1977 1:00;26,74;;;;;;;;;;
P520156;14-12-1977 1:00;27,18;;;;;;;;;;
P520156;28-4-1978 1:00;27,11;;;;;;;;;;
P520156;14-9-1978 1:00;26,67;;;;;;;;;;
P520156;13-10-1978 1:00;26,81;;;;;;;;;;
P520156;14-12-1978 1:00;26,78;;;;;;;;;;
P520156;13-5-1979 1:00;27,3;;;;;;;;;;
P520156;28-8-1979 1:00;26,66;;;;;;;;;;
P520156;17-10-1979 1:00;26,57;;;;;;;;;;
P520156;14-12-1979 1:00;27,07;;;;;;;;;;
P520156;28-4-1980 1:00;27,01;;;;;;;;;;
P520156;8-9-1980 1:00;27,01;;;;;;;;;;
P520156;15-12-1980 1:00;27,12;;;;;;;;;;
P520156;15-5-1981 1:00;27,07;;;;;;;;;;
P520156;15-9-1981 1:00;26,72;;;;;;;;;;
P520156;14-10-1981 1:00;27,18;;;;;;;;;;
P520156;6-1-1982 1:00;27,63;;;;;;;;;;
P520156;15-5-1982 1:00;27;;;;;;;;;;
P520156;28-8-1982 1:00;26,51;;;;;;;;;;
P520156;14-10-1982 1:00;26,77;;;;;;;;;;
P520156;29-12-1982 1:00;27,29;;;;;;;;;;
P520156;29-4-1983 1:00;27,35;;;;;;;;;;
P520156;29-8-1983 1:00;26,31;;;;;;;;;;
P520156;15-10-1983 1:00;26,51;;;;;;;;;;
P520156;29-10-1983 1:00;26,49;;;;;;;;;;
P520156;28-12-1983 1:00;26,88;;;;;;;;;;
P520156;27-4-1984 1:00;26,97;;;;;;;;;;
P520156;29-8-1984 1:00;26,51;;;;;;;;;;
P520156;15-10-1984 1:00;27,34;;;;;;;;;;
P520156;14-12-1984 1:00;27,23;;;;;;;;;;
P520156;26-4-1985 1:00;27,28;;;;;;;;;;
P520156;13-9-1985 1:00;26,86;;;;;;;;;;
P520156;18-10-1985 1:00;26,72;;;;;;;;;;
P520156;26-12-1985 1:00;27,2;;;;;;;;;;
P520156;29-4-1986 1:00;27,36;;;;;;;;;;
P520156;28-8-1986 1:00;26,67;;;;;;;;;;
P520156;28-10-1986 1:00;26,89;;;;;;;;;;
P520156;3-1-1987 1:00;27,45;;;;;;;;;;
P520156;13-5-1987 1:00;27,01;;;;;;;;;;
P520156;31-8-1987 1:00;26,82;;;;;;;;;;
P520156;14-10-1987 1:00;26,99;;;;;;;;;;
P520156;13-12-1987 1:00;27,02;;;;;;;;;;
P520156;9-5-1988 1:00;26,97;;;;;;;;;;
P520156;29-8-1988 1:00;26,8;;;;;;;;;;
P520156;14-10-1988 1:00;26,93;;;;;;;;;;
P520156;15-12-1988 1:00;27,15;;;;;;;;;;
P520156;16-5-1989 1:00;26,95;;;;;;;;;;
P520156;28-8-1989 1:00;26,31;;;;;;;;;;
P520156;27-10-1989 1:00;26,35;;;;;;;;;;
P520156;14-12-1989 1:00;26,33;;;;;;;;;;
P520156;14-5-1990 1:00;26,68;;;;;;;;;;
P520156;29-8-1990 1:00;26,11;;;;;;;;;;
P520156;16-10-1990 1:00;26,05;;;;;;;;;;
P520156;16-12-1990 1:00;26,5;;;;;;;;;;
P520156;29-4-1991 1:00;26,46;;;;;;;;;;
P520156;28-8-1991 1:00;26,07;;;;;;;;;;
P520156;14-10-1991 1:00;26,03;;;;;;;;;;
P520156;14-12-1991 1:00;26,4;;;;;;;;;;
P520156;29-4-1992 1:00;26,76;;;;;;;;;;
P520156;29-8-1992 1:00;26,44;;;;;;;;;;
P520156;14-10-1992 1:00;26,42;;;;;;;;;;
P520156;15-12-1992 1:00;27,08;;;;;;;;;;
P520156;28-4-1993 1:00;26,68;;;;;;;;;;
P520156;28-8-1993 1:00;26,4;;;;;;;;;;
P520156;14-10-1993 1:00;26,97;;;;;;;;;;
P520156;14-12-1993 1:00;27,22;;;;;;;;;;
P520156;28-4-1994 1:00;27,06;;;;;;;;;;
P520156;1-9-1994 1:00;26,31;;;;;;;;;;
P520156;17-10-1994 1:00;26,45;;;;;;;;;;
P520156;14-12-1994 1:00;26,88;;;;;;;;;;
P520156;29-4-1995 1:00;27;;;;;;;;;;
P520156;28-8-1995 1:00;26,13;;;;;;;;;;
P520156;12-10-1995 1:00;26,21;;;;;;;;;;
P520156;14-12-1995 1:00;26,1;;;;;;;;;;
P520156;29-4-1996 1:00;25,64;;;;;;;;;;
P520156;28-8-1996 1:00;26,03;;;;;;;;;;
P520156;14-10-1996 1:00;26,25;;;;;;;;;;
P520156;13-12-1996 1:00;26,79;;;;;;;;;;
P520156;28-4-1997 1:00;26,59;;;;;;;;;;
P520156;30-8-1997 1:00;26,23;;;;;;;;;;
P520156;14-10-1997 1:00;26,22;;;;;;;;;;
P520156;17-12-1997 1:00;26,36;;;;;;;;;;
P520156;28-4-1998 1:00;26,97;;;;;;;;;;
P520156;28-8-1998 1:00;26,41;;;;;;;;;;
P520156;14-10-1998 1:00;27,19;;;;;;;;;;
P520156;14-12-1998 1:00;27,44;;;;;;;;;;
P520156;28-4-1999 1:00;27,07;;;;;;;;;;
P520156;27-8-1999 1:00;26,77;;;;;;;;;;
P520156;14-10-1999 1:00;26,39;;;;;;;;;;
P520156;14-12-1999 1:00;26,32;;;;;;;;;;
P520156;28-4-2000 1:00;27,01;;;;;;;;;;
P520281;14-11-1992 1:00;30,33;;;;;;;;;;
P520281;28-11-1992 1:00;30,55;;;;;;;;;;
P520281;14-12-1992 1:00;30,52;;;;;;;;;;
P520281;28-12-1992 1:00;30,31;;;;;;;;;;
P520281;14-1-1993 1:00;30,62;;;;;;;;;;
P520281;28-1-1993 1:00;30,54;;;;;;;;;;
P520281;14-2-1993 1:00;30,38;;;;;;;;;;
P520281;28-2-1993 1:00;30,51;;;;;;;;;;
P520281;14-3-1993 1:00;30,32;;;;;;;;;;
P520281;28-3-1993 1:00;30,12;;;;;;;;;;
P520281;14-4-1993 1:00;30,31;;;;;;;;;;
P520281;28-4-1993 1:00;29,99;;;;;;;;;;
P520281;14-5-1993 1:00;30,14;;;;;;;;;;
P520281;28-5-1993 1:00;29,89;;;;;;;;;;
P520281;14-6-1993 1:00;29,68;;;;;;;;;;
P520281;28-6-1993 1:00;29,58;;;;;;;;;;
P520281;14-7-1993 1:00;29,44;;;;;;;;;;
P520281;28-7-1993 1:00;30,22;;;;;;;;;;
P520281;14-8-1993 1:00;29,76;;;;;;;;;;
P520281;28-8-1993 1:00;29,68;;;;;;;;;;
P520281;14-9-1993 1:00;29,66;;;;;;;;;;
P520281;28-9-1993 1:00;30,44;;;;;;;;;;
P520281;14-10-1993 1:00;30,7;;;;;;;;;;
P520281;28-10-1993 1:00;30,3;;;;;;;;;;
P520281;14-11-1993 1:00;30,66;;;;;;;;;;
P520281;28-11-1993 1:00;30,23;;;;;;;;;;
P520281;14-12-1993 1:00;30,67;;;;;;;;;;
P520281;28-12-1993 1:00;30,62;;;;;;;;;;
P520281;14-1-1994 1:00;30,62;;;;;;;;;;
P520281;28-1-1994 1:00;30,7;;;;;;;;;;
P520281;14-2-1994 1:00;30,44;;;;;;;;;;
P520281;28-2-1994 1:00;30,62;;;;;;;;;;
P520281;14-3-1994 1:00;30,51;;;;;;;;;;
P520281;28-3-1994 1:00;30,6;;;;;;;;;;
P520281;14-4-1994 1:00;30,56;;;;;;;;;;
P520281;28-4-1994 1:00;30,39;;;;;;;;;;
P520281;14-5-1994 1:00;30,21;;;;;;;;;;
P520281;28-5-1994 1:00;30,45;;;;;;;;;;
P520281;14-6-1994 1:00;30,25;;;;;;;;;;
P520281;28-6-1994 1:00;29,82;;;;;;;;;;
P520281;14-7-1994 1:00;29,54;;;;;;;;;;
P520281;28-7-1994 1:00;29,54;;;;;;;;;;
P520281;28-8-1994 1:00;29,42;;;;;;;;;;
P520281;14-9-1994 1:00;29,52;;;;;;;;;;
P520281;28-9-1994 1:00;29,57;;;;;;;;;;
P520281;14-10-1994 1:00;29,67;;;;;;;;;;
P520281;28-10-1994 1:00;29,58;;;;;;;;;;
P520281;14-11-1994 1:00;30,07;;;;;;;;;;
P520281;28-11-1994 1:00;30,13;;;;;;;;;;
P520281;14-12-1994 1:00;30,54;;;;;;;;;;
P520281;28-12-1994 1:00;30,7;;;;;;;;;;
P520281;14-1-1995 1:00;30,55;;;;;;;;;;
P520281;28-1-1995 1:00;30,68;;;;;;;;;;
P520281;14-2-1995 1:00;30,61;;;;;;;;;;
P520281;28-2-1995 1:00;30,59;;;;;;;;;;
P520281;14-3-1995 1:00;30,53;;;;;;;;;;
P520281;28-3-1995 1:00;30,61;;;;;;;;;;
P520281;14-4-1995 1:00;30,44;;;;;;;;;;
P520281;28-4-1995 1:00;30,35;;;;;;;;;;
P520281;14-5-1995 1:00;30,01;;;;;;;;;;
P520281;28-5-1995 1:00;29,95;;;;;;;;;;
P520281;14-6-1995 1:00;30,1;;;;;;;;;;
P520281;28-6-1995 1:00;29,83;;;;;;;;;;
P520281;14-7-1995 1:00;29,66;;;;;;;;;;
P520281;28-7-1995 1:00;29,68;;;;;;;;;;
P520281;14-9-1995 1:00;29,46;;;;;;;;;;
P520281;28-9-1995 1:00;29,45;;;;;;;;;;
P520281;14-10-1995 1:00;29,41;;;;;;;;;;
P520281;28-10-1995 1:00;29,34;;;;;;;;;;
P520281;14-11-1995 1:00;29,69;;;;;;;;;;
P520281;28-11-1995 1:00;29,54;;;;;;;;;;
P520281;14-12-1995 1:00;29,5;;;;;;;;;;
P520281;28-12-1995 1:00;29,86;;;;;;;;;;
P520281;14-1-1996 1:00;29,92;;;;;;;;;;
P520281;28-1-1996 1:00;29,76;;;;;;;;;;
P520281;14-2-1996 1:00;30,12;;;;;;;;;;
P520281;28-2-1996 1:00;30,24;;;;;;;;;;
P520281;14-3-1996 1:00;30;;;;;;;;;;
P520281;28-3-1996 1:00;30;;;;;;;;;;
P520281;14-4-1996 1:00;29,98;;;;;;;;;;
P520281;28-4-1996 1:00;29,84;;;;;;;;;;
P520281;14-5-1996 1:00;29,76;;;;;;;;;;
P520281;28-5-1996 1:00;30,05;;;;;;;;;;
P520281;14-6-1996 1:00;29,43;;;;;;;;;;
P520281;14-9-1996 1:00;29,52;;;;;;;;;;
P520281;28-9-1996 1:00;29,47;;;;;;;;;;
P520281;14-10-1996 1:00;29,57;;;;;;;;;;
P520281;28-10-1996 1:00;29,67;;;;;;;;;;
P520281;14-11-1996 1:00;30,18;;;;;;;;;;
P520281;28-11-1996 1:00;30,29;;;;;;;;;;
P520281;14-12-1996 1:00;30,24;;;;;;;;;;
P520281;28-12-1996 1:00;30,07;;;;;;;;;;
P520281;14-1-1997 1:00;29,97;;;;;;;;;;
P520281;29-1-1997 1:00;30,04;;;;;;;;;;
P520281;14-2-1997 1:00;30,61;;;;;;;;;;
P520281;28-2-1997 1:00;30,49;;;;;;;;;;
P520281;14-3-1997 1:00;30,26;;;;;;;;;;
P520281;27-3-1997 1:00;30,27;;;;;;;;;;
P520281;14-4-1997 1:00;30,13;;;;;;;;;;
P520281;28-4-1997 1:00;30,24;;;;;;;;;;
P520281;14-5-1997 1:00;30,26;;;;;;;;;;
P520281;28-5-1997 1:00;29,98;;;;;;;;;;
P520281;14-6-1997 1:00;29,9;;;;;;;;;;
P520281;28-6-1997 1:00;30,5;;;;;;;;;;
P520281;16-7-1997 1:00;29,96;;;;;;;;;;
P520281;28-7-1997 1:00;29,72;;;;;;;;;;
P520281;14-8-1997 1:00;29,32;;;;;;;;;;
P520281;14-10-1997 1:00;29,4;;;;;;;;;;
